doc_id,raw_output,llm_label,output_tokens,ended_by_eos
RYD-0072,no,not responsive,2,TRUE
RYD-0073,no,not responsive,2,TRUE
RYD-0074,no,not responsive,2,TRUE
RYD-0075,no,not responsive,2,TRUE
RYD-0076,no,not responsive,2,TRUE
RYD-0077,no,not responsive,2,TRUE
RYD-0078,no,not responsive,2,TRUE
RYD-0079,no,not responsive,2,TRUE
RYD-0080,no,not responsive,2,TRUE
RYD-0081,no,not responsive,2,TRUE
RYD-0082,yes,responsive,2,TRUE
RYD-0083,no,not responsive,2,TRUE
RYD-0084,no,not responsive,2,TRUE
RYD-0085,no,not responsive,2,TRUE
RYD-0086,no,not responsive,2,TRUE
RYD-0087,no,not responsive,2,TRUE
RYD-0088,no,not responsive,2,TRUE
RYD-0089,no,not responsive,2,TRUE
RYD-0090,no,not responsive,2,TRUE
RYD-0091,no,not responsive,2,TRUE
RYD-0092,no,not responsive,2,TRUE
RYD-0093,no,not responsive,2,TRUE
RYD-0094,no,not responsive,2,TRUE
RYD-0095,no,not responsive,2,TRUE
RYD-0096,no,not responsive,2,TRUE
RYD-0097,no,not responsive,2,TRUE
RYD-0098,no,not responsive,2,TRUE
RYD-0099,no,not responsive,2,TRUE
RYD-0100,no,not responsive,2,TRUE
RYD-0101,no,not responsive,2,TRUE
RYD-0102,no,not responsive,2,TRUE
RYD-0103,no,not responsive,2,TRUE
RYD-0104,yes,responsive,2,TRUE
RYD-0105,yes,responsive,2,TRUE
RYD-0106,no,not responsive,2,TRUE
RYD-0107,no,not responsive,2,TRUE
RYD-0108,no,not responsive,2,TRUE
RYD-0109,no,not responsive,2,TRUE
RYD-0110,no,not responsive,2,TRUE
RYD-0111,no,not responsive,2,TRUE
RYD-0112,no,not responsive,2,TRUE
RYD-0113,no,not responsive,2,TRUE
RYD-0114,no,not responsive,2,TRUE
RYD-0115,no,not responsive,2,TRUE
RYD-0116,no,not responsive,2,TRUE
RYD-0117,no,not responsive,2,TRUE
RYD-0118,no,not responsive,2,TRUE
RYD-0119,no,not responsive,2,TRUE
RYD-0120,no,not responsive,2,TRUE
RYD-0121,no,not responsive,2,TRUE
RYD-0122,no,not responsive,2,TRUE
RYD-0123,no,not responsive,2,TRUE
RYD-0124,yes,responsive,2,TRUE
RYD-0125,no,not responsive,2,TRUE
RYD-0126,yes,responsive,2,TRUE
RYD-0127,no,not responsive,2,TRUE
RYD-0128,no,not responsive,2,TRUE
RYD-0129,no,not responsive,2,TRUE
RYD-0130,no,not responsive,2,TRUE
RYD-0131,yes,responsive,2,TRUE
RYD-0132,no,not responsive,2,TRUE
RYD-0133,no,not responsive,2,TRUE
RYD-0134,no,not responsive,2,TRUE
RYD-0135,no,not responsive,2,TRUE
RYD-0136,no,not responsive,2,TRUE
RYD-0137,no,not responsive,2,TRUE
RYD-0138,no,not responsive,2,TRUE
RYD-0139,no,not responsive,2,TRUE
RYD-0140,no,not responsive,2,TRUE
RYD-0141,no,not responsive,2,TRUE
RYD-0142,no,not responsive,2,TRUE
RYD-0143,no,not responsive,2,TRUE
RYD-0144,no,not responsive,2,TRUE
RYD-0145,no,not responsive,2,TRUE
RYD-0146,no,not responsive,2,TRUE
RYD-0147,no,not responsive,2,TRUE
RYD-0148,no,not responsive,2,TRUE
RYD-0149,no,not responsive,2,TRUE
RYD-0150,no,not responsive,2,TRUE
RYD-0151,no,not responsive,2,TRUE
RYD-0152,no,not responsive,2,TRUE
RYD-0153,no,not responsive,2,TRUE
RYD-0154,no,not responsive,2,TRUE
RYD-0155,no,not responsive,2,TRUE
RYD-0156,no,not responsive,2,TRUE
RYD-0157,no,not responsive,2,TRUE
RYD-0158,no,not responsive,2,TRUE
RYD-0159,no,not responsive,2,TRUE
RYD-0160,no,not responsive,2,TRUE
RYD-0161,no,not responsive,2,TRUE
RYD-0162,no,not responsive,2,TRUE
RYD-0163,no,not responsive,2,TRUE
RYD-0164,no,not responsive,2,TRUE
RYD-0165,no,not responsive,2,TRUE
RYD-0166,no,not responsive,2,TRUE
RYD-0167,no,not responsive,2,TRUE
RYD-0168,no,not responsive,2,TRUE
RYD-0169,no,not responsive,2,TRUE
RYD-0170,no,not responsive,2,TRUE
RYD-0171,no,not responsive,2,TRUE
RYD-0172,no,not responsive,2,TRUE
RYD-0173,no,not responsive,2,TRUE
RYD-0174,no,not responsive,2,TRUE
RYD-0175,yes,responsive,2,TRUE
RYD-0176,no,not responsive,2,TRUE
RYD-0177,no,not responsive,2,TRUE
RYD-0178,yes,responsive,2,TRUE
RYD-0179,no,not responsive,2,TRUE
RYD-0180,no,not responsive,2,TRUE
RYD-0181,no,not responsive,2,TRUE
RYD-0182,no,not responsive,2,TRUE
RYD-0183,no,not responsive,2,TRUE
RYD-0184,no,not responsive,2,TRUE
RYD-0185,no,not responsive,2,TRUE
RYD-0186,no,not responsive,2,TRUE
RYD-0187,no,not responsive,2,TRUE
RYD-0188,no,not responsive,2,TRUE
RYD-0189,no,not responsive,2,TRUE
RYD-0190,no,not responsive,2,TRUE
RYD-0191,no,not responsive,2,TRUE
RYD-0192,no,not responsive,2,TRUE
RYD-0193,no,not responsive,2,TRUE
RYD-0194,no,not responsive,2,TRUE
RYD-0195,no,not responsive,2,TRUE
RYD-0196,no,not responsive,2,TRUE
RYD-0197,no,not responsive,2,TRUE
RYD-0198,no,not responsive,2,TRUE
RYD-0199,no,not responsive,2,TRUE
RYD-0200,no,not responsive,2,TRUE
RYD-0201,no,not responsive,2,TRUE
RYD-0202,no,not responsive,2,TRUE
RYD-0203,no,not responsive,2,TRUE
RYD-0204,no,not responsive,2,TRUE
RYD-0205,no,not responsive,2,TRUE
RYD-0206,no,not responsive,2,TRUE
RYD-0207,no,not responsive,2,TRUE
RYD-0208,no,not responsive,2,TRUE
RYD-0209,yes,responsive,2,TRUE
RYD-0210,no,not responsive,2,TRUE
RYD-0211,no,not responsive,2,TRUE
RYD-0212,no,not responsive,2,TRUE
RYD-0213,no,not responsive,2,TRUE
RYD-0214,no,not responsive,2,TRUE
RYD-0215,no,not responsive,2,TRUE
RYD-0216,no,not responsive,2,TRUE
RYD-0217,no,not responsive,2,TRUE
RYD-0218,no,not responsive,2,TRUE
RYD-0219,no,not responsive,2,TRUE
RYD-0220,no,not responsive,2,TRUE
RYD-0221,no,not responsive,2,TRUE
RYD-0222,no,not responsive,2,TRUE
RYD-0223,no,not responsive,2,TRUE
RYD-0224,no,not responsive,2,TRUE
RYD-0225,no,not responsive,2,TRUE
RYD-0226,no,not responsive,2,TRUE
RYD-0227,no,not responsive,2,TRUE
RYD-0228,no,not responsive,2,TRUE
RYD-0229,no,not responsive,2,TRUE
RYD-0230,no,not responsive,2,TRUE
RYD-0231,no,not responsive,2,TRUE
RYD-0232,no,not responsive,2,TRUE
RYD-0233,no,not responsive,2,TRUE
RYD-0234,no,not responsive,2,TRUE
RYD-0235,no,not responsive,2,TRUE
RYD-0236,yes,responsive,2,TRUE
RYD-0237,no,not responsive,2,TRUE
RYD-0238,no,not responsive,2,TRUE
RYD-0239,no,not responsive,2,TRUE
RYD-0240,no,not responsive,2,TRUE
